單字,中文定義,星級,難度等級,分類,詞性,【詞性變化】,搭配詞,例句
bring,攜帶、帶來；將...從...帶到...,5,入門,辦公日常,verb,"verb: bring, brings, bringing, brought","bring results 產生效益
bring in new regulations 實施新規定","Please bring the updated sales report to the meeting tomorrow.
請明天會議時帶來最新的銷售報告。"
bringing,帶來；攜帶；引入,5,入門,辦公日常,"verb, adjective","verb: bringing, brings, brought
adjective: bringing","bringing in new business 帶來新業務
bringing expertise to the project 為項目提供專業知識","Please remember to bring your presentation materials to the meeting.
請記得將您的簡報資料帶到會議中。"
brings,帶來；引入；呈現,5,入門,辦公日常,verb,"verb: brings, bringing, brought",,"The new software brings significant improvements in efficiency.
這款新軟體帶來了效率的顯著提升。"
brisk,快速且有活力的；（步調）輕快、節奏明快,3,中階,辦公日常,"adjective, adverb","adjective: brisk, briskier, b riskiest
adverb: brisk","brisk sales 銷路極佳
brisk pace 輕快的步調","The manager requested a brisk walk to clear his head before the important meeting.
經理在重要的會議前請求快速散步以清醒頭腦。"
bristol,布里斯托 (英國城市名)，通常指位於英格蘭西南部的大城市，是英國重要的貿易港口。,1,精熟,旅遊與交通,noun,"noun: bristol, Bristols",briskly 敏捷地,"Our company is considering expanding its operations to Bristol, a major commercial hub in the UK.
我們公司正在考慮將業務擴展到英國的一個主要商業樞紐——布里斯托。"
british,源自或與英國相關的；英國的,1,入門,溝通互動,adjective,"adjective: british, more british, most british",,"The company is expanding its operations to include a British branch.
該公司正在擴展業務，包括設立英國分公司。"
britney,布蘭妮（Britney Spears），通常指美國流行歌手布蘭妮·斯皮爾斯，在商務情境中可能指涉與該歌手相關的品牌、活動或贊助。,1,入門,行銷與銷售,noun,"noun: britney, Britneys",,"The marketing team is exploring a collaboration with Britney Spears to promote the new product line.
行銷團隊正在考慮與布蘭妮·斯皮爾斯合作，以推廣新的產品線。"
broad,廣泛的；涵蓋範圍廣的；寬闊的,4,中階,辦公日常,"adjective, adverb","adjective: broad, broader, broadest
adverb: broad","a broad range of 廣泛的
broad experience 豐富的經驗","The company has a broad range of products to cater to diverse customer needs.
該公司擁有廣泛的產品線，以滿足不同客戶的需求。"
broadband,寬頻網路，指比傳統撥接電話線路提供更高傳輸速度的網路連接方式，通常用於企業資料傳輸和高速上網。,3,中階,科技與技術支援,noun,"noun: broadband, broadbands","broadband connection 寬頻連線
broadband access 寬頻存取","Our company is investing in broadband infrastructure to improve employee productivity.
我們公司正在投資寬頻網路基礎建設，以提高員工生產力。"
broadcast,廣播；轉播；發送（訊息、節目等）,4,中階,溝通互動,"verb, noun","verb: broadcast, broadcasts, broadcasting
noun: broadcast, broadcasts",,"The company will broadcast a live press conference to announce the new product launch.
公司將直播一場新聞發布會，以宣布新產品的推出。"
broaden,拓寬；擴大；增廣 (使...變寬廣或更廣泛),4,中階,一般專業,verb,"verb: broadens, broadened, broadening","horizons 視野
knowledge 知識","We encourage our employees to broaden their skill sets through continuous learning and training.
我們鼓勵員工透過持續學習和培訓來拓寬他們的技能組合。"
broadly,廣泛地；大體上；總體而言,3,中階,溝通互動,adverb,adverb: broadly,,"The company's new marketing strategy aims to reach a broader audience.
公司新的行銷策略旨在接觸更廣泛的受眾。"
brochure,產品宣傳冊；小冊子（通常包含公司或產品的資訊，用於推廣或提供詳細介紹）,4,基礎,行銷與銷售,noun,"noun: brochure, brochures",,"The company distributed brochures at the trade show to attract potential clients.
該公司在貿易展覽中發放產品宣傳冊，以吸引潛在客戶。"
broke,（機械、設備等）損壞；（關係、協議等）破裂,5,基礎,營運管理,"verb, adjective","verb: broke, breaks, breaking, broken
adjective: broke, broken",,"The company's main server broke down during the peak sales period, causing significant losses.
公司主要伺服器在銷售高峰期發生故障，造成了重大損失。"
broken,損壞的；故障的；破碎的（指物品或設備無法正常運作）,5,基礎,科技與技術支援,adjective,"adjective: broken, more broken, most broken",,"The printer is broken, so we need to order a replacement immediately.
印表機已損壞，我們需要立即訂購替換機。"
broker,經紀人；仲介人，通常指在金融或房地產市場中促成交易的人。,3,中階,金融與會計,noun,"noun: broker, brokers","stockbroker 證券經紀人
insurance broker 保險經紀人","Our company uses a reputable broker to manage its investment portfolio.
我們公司使用一位信譽良好的經紀人來管理其投資組合。"
brokerage,經紀公司；券商,3,進階,金融與會計,noun,"noun: brokerage, brokerages","brokerage account 證券帳戶
commission 佣金","Our company uses a reputable brokerage to manage its investments.
我們公司使用一家信譽良好的券商來管理我們的投資。"
bronze,青銅；（顏色）青銅色的；（品質）次於金牌的（獎牌）,3,基礎,營運管理,"noun, adjective","noun: bronze, bronzes
adjective: bronze, more bronze, most bronze",,"The company awarded bronze medals to the teams that achieved third place in the competition.
公司將青銅獎章頒發給在比賽中獲得第三名的團隊。"
broom,掃帚,4,入門,辦公日常,"noun, verb","noun: broom, brooms
verb: broom, brooms, brooming, broomed","bloom 開花
boom 景氣繁榮","Please use the broom to sweep the floor clean.
請用掃帚把地板掃乾淨。"
brother,兄弟；(稱呼男性熟人)老兄，夥計；同胞；同伴，同事；(基督教修會的)修士,5,入門,溝通互動,noun,noun: brothers,brother 兄弟,"My elder brother works as an engineer.
我的哥哥是一名工程師。"
brothers,兄弟；（公司等組織中的）同事或夥伴,1,入門,人力資源,noun,noun: brothers,"elder brothers 兄
younger brothers 弟","The two brothers co-founded the company and have worked tirelessly to expand its operations.
這兩個兄弟共同創立了這家公司，並努力擴展其業務。"
brought,帶來；攜帶；引入,5,入門,辦公日常,verb,"verb: brought, brings, bringing",,"The manager brought several important documents to the meeting.
經理帶來了幾份重要的文件到會議上。"
brown,棕色；深褐色；（指文件、報告等）未經正式處理或審批的,5,入門,辦公日常,"noun, adjective","noun: brown, browns
adjective: brown, browner, brownest","brown cardboard box 棕色紙箱
light brown 淺棕色","The package was wrapped in brown paper to protect it during shipping.
為了在運輸過程中保護包裹，它被包裹在棕色的紙中。"
browse,瀏覽（網站、資料庫等），瀏覽查閱,4,基礎,科技與技術支援,verb,"verb: browse, browses, browsing, browsed",,"Before making a purchase, I like to browse the online store to compare prices.
在購買之前，我喜歡瀏覽線上商店以比較價格。"
browser,瀏覽器；用於在網際網路上檢視和互動的軟體應用程式。,5,基礎,科技與技術支援,noun,noun: browsers,,"I use Google Chrome as my default web browser.
我使用 Google Chrome 作為我的預設網路瀏覽器。"
browsing,瀏覽（網站、資料庫等），通常指隨機查看資訊，而非有特定目的。,4,基礎,科技與技術支援,"verb, gerund","verb: browsing, browses, browsed
gerund: browsing",,"The marketing team is currently browsing online platforms to identify potential advertising opportunities.
行銷團隊目前正在瀏覽線上平台，以尋找潛在的廣告機會。"
brunch,早午餐，指結合早餐和午餐的餐點，通常在上午十一點到下午三點之間享用。,4,基礎,住宿與餐飲,noun,"noun: brunch, brunches","serve brunch 供應早午餐
go for brunch 去吃早午餐","The hotel offers a delightful brunch buffet every Sunday.
這家飯店每週日都提供美味的早午餐自助餐。"
brush,清潔（刷子或刷洗）；（電郵等）快速瀏覽,4,基礎,辦公日常,"verb, noun","verb: brush, brushes, brushing, brushed
noun: brush, brushes","brushing the floor 刷洗地板
paint brush 油漆刷","Before the meeting, please brush up on the latest sales figures.
在會議前，請快速瀏覽最新的銷售數據。"
brutal,殘酷的；野蠻的；嚴酷的,2,進階,一般專業,adjective,"adjective: brutal, more brutal, most brutal
adverb: brutally
noun: brutality","brutal competition 殘酷的競爭
brutal honesty 赤裸裸的坦白","The company faced brutal competition in the market.
這家公司在市場上面臨著殘酷的競爭。"
bubble,泡泡；氣泡；（經濟等領域的）泡沫；（困難或危險的）隔絕狀態；沸騰，冒泡；充滿（情感）,3,進階,一般專業,"noun, verb","noun: bubbles
verb: bubbles, bubbling, bubbled",,"The soda had tiny bubbles fizzing at the top.
汽水頂部冒著細小的氣泡。"
bucket,桶；一桶的量；水桶；（動詞）將…分類；將（資料、物品等）放入桶中。,3,基礎,一般專業,"noun, verb","noun: buckets
verb: buckets, bucketing, bucketed","mop and bucket 拖把與水桶
A bucket has been left upside down 水桶被倒著放","Please fill the bucket with clean water.
請將水桶裝滿乾淨的水。"
buddhists,佛教徒；信奉佛教的人,1,精熟,人力資源,noun,noun: buddhists,"Buddhist temple 佛寺
Buddhist monks 僧侶","The company respects the religious beliefs of all employees, including Buddhists.
公司尊重所有員工的宗教信仰，包括佛教徒。"
buddy,朋友；夥伴；搭檔,2,基礎,溝通互動,"noun, verb","noun: buddy, buddies
verb: buddy, buddies, buddied, buddying","onboarding buddy 入職夥伴
body 身體","My office buddy helped me understand the new software.
我的辦公室夥伴幫助我理解了新軟體。"
budget,預算；預算編制,5,基礎,金融與會計,"noun, verb","noun: budget, budgets
verb: budget, budgets, budgeting, budgeted","stay within budget 在預算內
exceed the budget 超出預算","The marketing department needs to submit its budget proposal by the end of the week.
行銷部門需要在本週結束前提交其預算提案。"
budgets,預算；預算規劃,5,基礎,金融與會計,noun,"noun: budgets, budget","within budget 在預算內
over budget 超出預算","The marketing department needs to submit their budget proposal by the end of the week.
行銷部門需要在本週結束前提交他們的預算提案。"
buffer,緩衝區；緩衝物；起緩衝作用,3,進階,營運管理,"noun, verb","noun: buffers
verb: buffers, buffered, buffering","time buffer 時間緩衝
buffer stock 緩衝庫存","We need to build up a buffer stock to prevent supply chain disruptions.
我們需要建立緩衝庫存以防止供應鏈中斷。"
buffet,自助餐；豐盛的餐點選擇,4,基礎,住宿與餐飲,noun,"noun: buffet, buffets",,"The conference fee includes access to a daily buffet breakfast.
會議費用包含每日自助早餐的供應。"
bug,（軟體或系統中的）錯誤、缺陷；（昆蟲）蟲子,4,基礎,科技與技術支援,"noun, verb","noun: bug, bugs
verb: bug, bugs, bugging, bugged",,"The software developers are working to fix the bugs in the latest version.
軟體開發人員正在努力修復最新版本中的錯誤。"
build,建造；構建；建立,5,基礎,營運管理,verb,"verb: build, builds, building, built",,"The company plans to build a new factory to increase production capacity.
公司計劃建造一座新工廠以提高生產能力。"
builder,建築商；建造者；營造商,4,基礎,物業與不動產,noun,"noun: builder, builders","home builder 房屋建築商
reputable builder 信譽良好的建築商","The construction company is a leading builder of commercial properties.
這家營造公司是商業地產的領先建築商。"
building,建築物；大樓，通常指商業或辦公用途的建築。,5,入門,辦公日常,noun,"noun: building, buildings","office building 辦公大樓
building maintenance 大樓維修","The company is relocating its headquarters to a new building downtown.
公司將總部搬遷到市中心的新大樓。"
buildings,建築物；大樓（通常指商業或辦公用途的建築物）,5,入門,辦公日常,noun,noun: buildings,"office buildings 辦公大樓
commercial buildings 商業大樓","The company is planning to relocate its headquarters to a modern office building downtown.
公司計畫將總部搬遷到市中心的一棟現代辦公大樓。"
built,建造；構築；(建築)物,5,基礎,營運管理,"verb, adjective","verb: built, builds, building
adjective: built, better built, best built","built a strong relationship 建立穩固關係
built on a solid foundation 建立在堅實的基礎上","The company plans to build a new factory to increase production capacity.
公司計劃建造一座新工廠以提高生產能力。"
built-in,內建的；整合在設備或系統中的，無需額外安裝或購買。,4,中階,科技與技術支援,adjective,"adjective: built-in, more built-in, most built-in",Integrated 整合的,"The new laptop features a built-in webcam and microphone for convenient video conferencing.
這款新筆記型電腦配備了內建的網路攝影機和麥克風，方便進行視訊會議。"
bulb,電燈泡；球莖,3,基礎,辦公日常,noun,noun: bulbs,,"The light bulb in the office is flickering; we need to replace it.
辦公室的電燈泡正在閃爍；我們需要更換它。"
bulk,大量；大批（通常指數量或容量）,4,中階,採購與物流,noun,"noun: bulk, bulks","in bulk 大量地
bulk order 大宗訂單","We purchase raw materials in bulk to reduce costs.
我們大量採購原材料以降低成本。"
bull,公牛；（股市）多頭，看漲者；（俚語）胡說八道，廢話；（動詞）推動，猛衝；（股市）推高股價,3,進階,金融與會計,"noun, verb","noun: bulls
verb: bulls, bulling, bulled","bull market 牛市
bear market 熊市","The analyst predicted a bull market for the next quarter due to strong economic indicators.
由於經濟指標強勁，分析師預測下個季度將是牛市。"
bullet,項目符號；子彈,4,基礎,辦公日常,noun,noun: bullets,"bullet point 項目符號
bulletin 公告","Please use bullet points to summarize the main ideas.
請使用項目符號來總結主要觀點。"
bulletin,公告、佈告牌（通常指在公共場所張貼的通知）,4,基礎,辦公日常,noun,"noun: bulletin, bulletins",bulletin board 公佈欄,"Check the company bulletin board for announcements about upcoming training sessions.
請查看公司佈告牌，了解即將舉行的培訓課程的公告。"
bully,霸凌者；欺凌弱小者 (noun); 霸凌；欺負；恐嚇 (verb),3,中階,溝通互動,"noun, verb","noun: bullies
verb: bullies, bullying, bullied","workplace bullying 職場霸凌
harassment 騷擾","The company has a strict policy against workplace bullying.
公司對職場霸凌有嚴格的政策。"
bum,(非正式)懶漢；遊民；屁股；乞討，索要；閒蕩；(品質)差勁的，不公平的,1,精熟,一般專業,"noun, verb, adjective","noun: bums
verb: bumming, bummed
adjective: ",,"He's a real bum, always asking for money but never working.
他真是個大懶漢，老是伸手要錢卻從不工作。"
bump,輕微碰撞；突發狀況；（數據）峰值,3,中階,辦公日常,"noun, verb","noun: bump, bumps
verb: bump, bumps, bumping, bumped","bump up the price 提高價格
bump up production 增加產量","The shipment experienced a slight bump during transit, but the goods arrived undamaged.
貨物在運輸途中發生了輕微碰撞，但貨物完好無損地送達。"
bunch,一束；一串；一群；大量,4,基礎,一般專業,"noun, verb","noun: bunches
verb: bunches, bunching, bunched",a bunch of emails to answer 有一堆郵件要回覆,"She bought a bunch of red roses for her mother.
她為母親買了一束紅玫瑰。"
bundle,一包；一疊；大量（指捆綁在一起的物品）,4,中階,採購與物流,noun,"noun: bundle, bundles",,"The shipping department received a bundle of documents related to the new contract.
運輸部門收到一包與新合約相關的文件。"
bungalow,獨棟小屋；度假小屋（通常指帶有小花園或庭院的單層住宅）,2,進階,住宿與餐飲,noun,"noun: bungalow, bungalows",,"The company is offering employees a weekend stay in a luxurious bungalow near the beach.
公司正在為員工提供海灘附近的豪華小屋週末住宿。"
bungalows,獨棟小屋；度假小屋（通常指帶有花園或庭院的單層小屋，常在海邊或度假勝地使用）,2,中階,旅遊與交通,noun,noun: bungalows,"beach bungalows 海濱平房
cozy bungalows 舒適的平房","The resort offers a variety of accommodations, including luxurious bungalows with ocean views.
該度假村提供多種住宿選擇，包括享有海景的豪華獨棟小屋。"
burden,負擔；重擔；壓力；義務；責任；麻煩事；（船、車、動物等所載的）貨物，載重；負擔於…；使煩惱,4,中階,一般專業,"noun, verb","noun: burden, burdens
verb: burden, burdens, burdening, burdened",burden someone with something 使某人負擔某事,"The heavy workload became a significant burden on the team.
繁重的工作量對團隊來說成為了巨大的負擔。"
burdensome,繁重的；負擔的；令人費時的,3,進階,辦公日常,adjective,"adjective: burdensome, more burdensome, most burdensome",,"The new regulations are quite burdensome for small businesses.
這些新的法規對小型企業來說相當繁重。"
bureaucracy,官僚體系；繁瑣的行政程序,3,進階,營運管理,noun,"noun: bureaucracy, bureaucracies","excessive 過度的
administrative 行政的","The company is trying to streamline its operations to reduce bureaucracy and improve efficiency.
公司正努力簡化其營運，以減少官僚體系並提高效率。"
bureaucrat,官僚；官員；繁文縟節的執行者,2,進階,一般專業,noun,noun: bureaucrats,"senior bureaucrat 資深官員
government bureaucrat 政府官僚","The project was delayed by a series of bureaucratic hurdles created by various bureaucrats.
該專案因各種官僚製造的一系列繁瑣程序而延誤。"
bureaucratic,官僚的；官僚主義的,3,進階,營運管理,adjective,"adjective: bureaucratic
noun: bureaucracy, bureaucrat
adverb: bureaucratically","bureaucratic red tape 官僚作風引起的繁瑣手續
delay 延誤","The company's bureaucratic processes often slow down decision-making.
公司的官僚流程常常拖慢決策制定。"
burger,漢堡，一種夾在麵包中的肉餅或其他食材的食物，通常在商業場合作為快速且方便的餐點選擇。,1,入門,住宿與餐飲,noun,"noun: burger, burgers","burger joint 漢堡店
order a burger 點漢堡","The company cafeteria offers a variety of options, including a classic cheeseburger.
公司食堂提供多種選擇，包括經典的起司漢堡。"
burgers,漢堡，多層夾餡三明治（通常包含肉餅）,1,入門,住宿與餐飲,noun,noun: burgers,"order a burger 點漢堡
serve burgers 供應漢堡","The company cafeteria offers a variety of burgers and fries for lunch.
公司食堂午餐提供多種漢堡和薯條。"
burgess,鎮民；居民（通常指中世紀城市中的居民）,1,精熟,辦公日常,noun,"noun: burgess, burgesses",,"The company is committed to providing excellent services to all burgesses in the community.
公司致力於為社區內的所有鎮民提供優質服務。"
burn,燃燒；燒毀；消耗（資源、時間等）,3,中階,營運管理,"verb, noun","verb: burn, burns, burning, burned
noun: burn, burns",,"The company is working to reduce its carbon footprint by minimizing energy consumption and burning less fuel.
該公司正努力減少碳足跡，方法是減少能源消耗並減少燃燒燃料。"
burpee,一種高強度的全身運動，結合了深蹲、伏地挺身和跳躍的動作，能有效訓練心肺功能和全身肌肉。,1,精熟,一般專業,"noun, verb","noun: burpee, burpees
verb: burpee, burpees, burpee-ing, burpeed","do a burpee 做波比跳
Slurpee 連鎖店常見的碎冰飲料","She incorporated burpees into her daily workout routine to improve her endurance.
她將波比跳納入日常鍛鍊中，以提高耐力。"
burst,突然爆發；（情緒、聲音等）驟然發出,3,中階,溝通互動,"verb, noun","verb: burst, bursts, bursting
noun: burst, bursts","pipe burst 水管破裂
the bubble burst 經濟泡沫破裂","The CEO burst into laughter when he heard the good news.
當他聽到這個好消息時，執行長突然大笑起來。"
bury,埋葬；隱藏；壓抑,3,中階,營運管理,verb,"verb: bury, buries, burying, buried",,"The company decided to bury the failed project to avoid further losses.
公司決定將失敗的項目埋藏起來，以避免進一步的損失。"
bus,公車；巴士；（用巴士）運送,5,入門,旅遊與交通,"noun, verb","noun: bus, buses
verb: bus, buses, bussing, bussed",,"I usually take the bus to work.
我通常搭公車上班。"
busan,釜山（韓國城市名），通常指韓國第二大城市，在商務情境中可能指該地的商業活動或旅遊。,1,精熟,旅遊與交通,noun,"noun: busan, busans","Busan Port 釜山港
shipped from Busan 從釜山出貨","Our company is exploring opportunities to expand its operations into Busan.
我們公司正在考慮將業務拓展到釜山。"
bush,灌木叢，矮灌木,4,基礎,物業與不動產,noun,"noun: bush, bushes","trim the bushes 修剪灌木
plant a bush 種植灌木","The landscaping team is responsible for trimming the bushes around the office building.
景觀團隊負責修剪辦公大樓周圍的灌木叢。"
business,商業、企業、業務,5,入門,辦公日常,noun,"noun: business, businesses","business hours 營業時間
on business 為公事出差","Our company is expanding its business into the Asian market.
我們公司正在將業務拓展到亞洲市場。"
businesses,企業；公司（複數形式，通常指多個公司或組織）,5,基礎,營運管理,noun,noun: businesses,,"Several businesses in the area have been affected by the recent economic downturn.
近期經濟衰退影響了該地區的許多企業。"
businessman,商人；企業家,5,基礎,一般專業,noun,noun: businessmen,,"The successful businessman expanded his company into new markets.
這位成功的商人將他的公司擴展到新的市場。"
businesspeople,商務人士；從事商業活動的人,4,基礎,辦公日常,noun,noun: businesspeople,,"The conference attracted a large number of businesspeople from around the globe.
這場會議吸引了來自世界各地的許多商務人士。"
businessperson,從事商業活動的人，尤指企業主或經理人；商人，企業家。,5,基礎,一般專業,noun,"noun: businessperson, businesspeople",,"She is a successful businessperson who built her company from the ground up.
她是一位成功的企業家，從零開始建立了她的公司。"
bust,（名詞）半身像；失敗；不景氣；逮捕（動詞）破產；逮捕；打破；突擊搜查,3,中階,一般專業,"noun, verb","noun: busts
verb: busts, busted, busting",burst 爆裂,"Many small businesses go bust during an economic downturn.
許多小型企業在經濟衰退期間倒閉。"
bustling,熙熙攘攘的；充滿活力的,3,中階,營運管理,adjective,"adjective: bustling, busier, busiest","bustling city 繁忙的城市
bustling market 熙熙攘攘的市集","The city center is a bustling hub of activity, especially during the holiday season.
市中心是一個熙熙攘攘的活動中心，尤其是在節假日期間。"
busy,忙碌的；佔據時間的；因工作或其他事務而沒有空閒時間。,5,入門,辦公日常,"adjective, verb","adjective: busy, busier, busiest
verb: busy, busies, busying, busied",,"I'm very busy preparing for the quarterly sales presentation.
我正非常忙碌地為季度銷售簡報做準備。"
butt,"(n.) 臀部; 菸蒂; (槍或工具的)粗端; 目標; 笑柄 (v.) 用頭或角撞; 衝撞; (口語, 常與in/into連用) 插嘴; 干涉",2,進階,溝通互動,"noun, verb","noun: butts
verb: butts, butting, butted","cigarette butts 菸蒂
but 連接詞","He was always the butt of his friends' jokes.
他總是朋友們開玩笑的對象。"
butter,奶油；（用於烘焙或烹飪的）黃油,1,入門,住宿與餐飲,noun,"noun: butter, butters","better 更好
bitter 苦的","The hotel kitchen uses high-quality butter for all its pastries.
飯店的廚房在所有糕點中使用高品質的奶油。"
butterfly,蝴蝶；（比喻）轉變、蛻變,1,精熟,營運管理,noun,"noun: butterfly, butterflies",,"The company is undergoing a significant transformation, like a butterfly emerging from its chrysalis.
公司正在經歷重大的轉型，就像蝴蝶從蛹中破殼而出。"
buttermilk,一種由牛奶發酵製成的乳製品，通常用於烘焙或烹飪，具有濃郁的酸味。,1,精熟,住宿與餐飲,noun,"noun: buttermilk, buttermilks",,"The bakery uses buttermilk in their pancakes to give them a tangy flavor.
這家烘焙坊在鬆餅中使用奶油乳酪，使其具有濃郁的酸味。"
buttock,臀部,1,精熟,一般專業,noun,noun: buttocks,,"He landed on his buttock after the fall.
他跌倒後臀部著地。"
button,按鈕；鈕扣（用於固定衣物或設備控制）,5,入門,辦公日常,"noun, verb","noun: button, buttons
verb: button, buttons, buttoning, buttoned","press a button 按按鈕
push a button 推按鈕","Could you please button your jacket before the meeting starts?
在會議開始前，請您把外套扣好。"
buttons,按鈕；鈕扣（通常指電子設備上的按鈕或服裝上的鈕扣）,5,入門,辦公日常,noun,noun: buttons,,"The employee needs to reset the system by pressing the reset button.
員工需要按下重置按鈕來重置系統。"
buy,購買；採購,5,入門,採購與物流,verb,"verb: buy, buys, buying, bought",,"The company needs to buy new equipment to improve production efficiency.
公司需要購買新的設備以提高生產效率。"
buyer,購買者；客戶,5,基礎,採購與物流,noun,"noun: buyer, buyers","potential buyer 潛在買家
corporate buyer 企業採購單位","The company is actively seeking new buyers for its products in overseas markets.
該公司正在積極尋找海外市場的新買家。"
buyers,購買者；顧客（通常指批量購買或商務交易中的購買者）,5,基礎,採購與物流,noun,noun: buyers,,"The company is targeting new buyers in the Asian market.
該公司正在瞄準亞洲市場的新購買者。"
buying,購買；採購,5,入門,採購與物流,"verb, adjective","verb: buying, buys, bought
adjective: buying, buyingest","buying power 購買力
buying habits 消費習慣","The company is currently buying new equipment to upgrade its production line.
公司目前正在採購新設備以升級其生產線。"
buyout,企業收購；買斷（指買下公司、企業或組織的全部或大部分股份，從而取得控制權；或指付錢讓人放棄工作或合約）,3,進階,金融與會計,noun,noun: buyouts,,"The private equity firm announced a leveraged buyout of the struggling retail chain.
該私募股權公司宣布對這家陷入困境的零售連鎖店進行槓桿收購。"
buzzing,嗡嗡作響；持續低沉的聲音（通常指機械或電器發出的聲音）,3,中階,科技與技術支援,"verb, adjective","verb: buzzing, buzzes, buzzed
adjective: buzzing, buzzier, buzziest",,"The server is buzzing, indicating a potential overload.
伺服器正在嗡嗡作響，表示可能超載。"
by-law,附則；規章；地方法規；（公司、社團等的）章程,2,進階,法務合規與安全,noun,noun: by-laws,,"The company's by-laws outline the rules for shareholder meetings.
公司的章程規定了股東大會的規則。"
bye,再見；下次見；道別,1,入門,溝通互動,"interjection, noun",noun: byes,buy 購買,"Bye, see you tomorrow!
再見，明天見！"
bypass,繞過；避開（障礙、程序等），通常指使用替代路線或方法。,3,進階,營運管理,verb,"verb: bypass, bypasses, bypassing, bypassed","bypass the system 繞過系統
bypass the middleman 跳過中間人","Due to the construction, we had to bypass the usual route to the warehouse.
由於施工，我們不得不繞過前往倉庫的慣常路線。"
cab,計程車；出租車,4,基礎,旅遊與交通,noun,"noun: cab, cabs",,"I need to book a cab to the airport before 6 AM.
我需要在早上 6 點前預訂一輛計程車到機場。"
cabin,船艙、小木屋（通常指遊艇或郵輪上的房間）,4,中階,旅遊與交通,noun,"noun: cabin, cabins","cabin crew 機組人員
flight cabin 客艙","The passengers were asked to return to their cabins before the ship encountered rough seas.
在船隻遇到惡劣海況之前，乘客們被要求返回他們的船艙。"
cabinet,櫃子；櫥櫃；內閣（政府的）,5,基礎,一般專業,noun,noun: cabinets,"filing cabinet 檔案櫃
be open 開啟中","She keeps all her financial records in a locked filing cabinet.
她把所有財務記錄都放在一個上鎖的文件櫃裡。"
cable,連接線、纜線，用於傳輸電訊號或數據。,4,基礎,科技與技術支援,noun,"noun: cable, cables","power cable 電源線
fiber optic cable 光纖電纜","The IT department needs to replace the damaged network cable.
資訊部門需要更換損壞的網路纜線。"
cactus,仙人掌,1,精熟,一般專業,noun,"noun: cacti, cactuses","potted plant 盆栽
indoor decor 室內裝飾","Be careful not to touch the cactus, as it has sharp spines.
小心不要觸摸仙人掌，因為它有尖刺。"
caf,咖啡館；自助餐廳,1,精熟,住宿與餐飲,noun,noun: cafs,"cafeteria 自助食堂
staff caf 員工餐廳","Let's grab a quick lunch at the company caf.
我們去公司的自助餐廳快速吃個午餐吧。"
cafeteria,公司或學校內提供的食堂，通常供應午餐和點心。,4,基礎,辦公日常,noun,"noun: cafeteria, cafeterias",,"Employees are encouraged to bring their own lunch or utilize the company cafeteria.
員工鼓勵自備午餐或使用公司食堂。"
caffeine,咖啡因,2,基礎,辦公日常,noun,noun: caffeine,,"Many people rely on caffeine in the morning to feel more awake and focused.
許多人早上會依賴咖啡因來提神並保持專注。"
cage,籠子；關入籠中,2,中階,一般專業,"noun, verb","noun: cages
verb: cages, caging, caged","storage cage 儲物籠
security cage 安全圍欄","The small bird was kept in a beautiful wooden cage.
那隻小鳥被養在一個漂亮的木籠裡。"
cahuaya,卡胡亞語（Cahuaya）是一種在秘魯安第斯山脈地區使用的原住民語言，在商業情境中通常指代該語言或其使用者。,1,精熟,溝通互動,noun,"noun: cahuaya, cahuayas",,"To effectively communicate with the local community, our team needs to hire a translator fluent in Cahuaya.
為了有效與當地社區溝通，我們的團隊需要聘請一位精通卡胡亞語的翻譯人員。"
cajun,路易斯安那州阿卡迪亞地區的居民或其文化，通常指以法裔加拿大人後裔為主的傳統烹飪風格。,1,精熟,住宿與餐飲,"noun, adjective","noun: cajun, Cajuns
adjective: cajun, more Cajun, most Cajun","Cajun cuisine 卡津料理
Cajun seasoning 卡津香料","The restaurant is known for its authentic Cajun cuisine, featuring dishes like gumbo and jambalaya.
這家餐廳以其正宗的 Cajun 料理而聞名，包括高湯和 Jambalaya 等菜餚。"
cake,蛋糕；（通常指）慶祝活動中的甜點或點心。,1,入門,住宿與餐飲,noun,"noun: cake, cakes",,"The company celebrated the successful project launch with a large cake and a team dinner.
公司以一個大蛋糕和團隊晚餐慶祝專案成功啟動。"
cakes,蛋糕，通常指派對或慶祝活動中供應的甜點。,5,入門,住宿與餐飲,noun,noun: cakes,"order cakes 訂購蛋糕
cakes are being displayed 蛋糕正在展示","The catering company provided a variety of cakes and pastries for the corporate event.
餐飲公司為企業活動提供了多種蛋糕和點心。"
calcium,鈣 (化學元素，符號 Ca，原子序 20，是一種銀白色的軟金屬；人體必需的礦物質，對於骨骼、牙齒和神經功能至關重要),1,精熟,一般專業,noun,noun: calcium,,"Milk and dairy products are excellent sources of calcium, which is crucial for strong bones.
牛奶和乳製品是極佳的鈣質來源，對強健骨骼至關重要。"
calculate,計算；估算；衡量,5,基礎,金融與會計,verb,"verb: calculate, calculates, calculating, calculated",,"The finance department needs to calculate the company's quarterly profits.
財務部門需要計算公司的季度利潤。"
calculated,經過仔細計算或評估的；蓄謀已久的,3,進階,營運管理,adjective,"adjective: calculated, more calculated, most calculated",,"The company's strategic expansion was a calculated risk, based on thorough market research.
該公司的戰略擴張是經過仔細評估的風險，基於全面的市場研究。"
